HoursStudied,Attendance,ParentalInvolvement,AccessToResources,ExtracurricularActivities,SleepHours,PreviousScores,MotivationLevel,InternetAccess,TutoringSessions,FamilyIncome,TeacherQuality,SchoolType,PeerInfluence,PhysicalActivity,LearningDisabilities,ParentalEducationLevel,DistanceFromHome,Gender,ExamScore
23,84,-1,1,0,7,73,-1,1,0,-1,0,Public,1,3,0,1 School,1,Male,67
19,64,-1,0,0,8,59,-1,1,2,0,0,Public,-1,4,0,College,0,Female,61
24,98,0,0,1,7,91,0,1,2,0,0,Public,0,4,0,Postgraduate,1,Male,74
29,89,-1,0,1,8,98,0,1,1,0,0,Public,-1,4,0,1 School,0,Male,71
19,92,0,0,1,6,65,0,1,3,0,1,Public,0,4,0,College,1,Female,70
19,88,0,0,1,8,89,0,1,3,0,0,Public,1,3,0,Postgraduate,1,Male,71
29,84,0,-1,1,7,68,-1,1,1,-1,0,Private,0,2,0,1 School,0,Male,67
25,78,-1,1,1,6,50,0,1,1,1,1,Public,-1,2,0,1 School,-1,Male,66
17,94,0,1,0,6,80,1,1,0,0,-1,Private,0,1,0,College,1,Male,69
23,98,0,0,1,8,71,0,1,0,1,1,Public,1,5,0,1 School,0,Male,72
17,80,-1,1,0,8,88,0,0,4,0,1,Private,0,4,0,College,0,Male,68
17,97,0,1,1,6,87,-1,1,2,-1,1,Private,0,2,0,1 School,1,Male,71
21,83,0,0,1,8,97,-1,1,2,0,0,Public,1,4,0,1 School,1,Male,70
9,82,0,0,1,8,72,0,1,2,0,0,Private,1,3,0,Postgraduate,1,Male,66
10,78,0,1,1,8,74,0,1,1,-1,0,Private,0,4,0,Postgraduate,1,Male,65
17,68,0,0,0,8,70,0,1,2,0,0,Private,1,4,0,1 School,1,Female,64
14,60,0,-1,1,10,65,-1,1,0,1,0,Private,1,3,0,College,1,Male,60
22,70,-1,0,1,6,82,0,1,1,-1,1,Public,0,3,0,1 School,1,Female,65
15,80,0,0,1,9,91,-1,1,3,-1,0,Public,1,2,0,College,0,Female,67
12,75,0,1,1,7,58,0,1,3,0,0,Private,1,4,0,College,1,Male,66
29,78,0,0,0,5,99,1,1,0,1,0,Public,-1,1,0,1 School,0,Female,69
19,99,0,1,0,6,84,0,1,1,0,1,Public,0,3,0,1 School,1,Male,72
