recordid,hoursstudied,attendance,parentalinvolvement,accesstoresources,extracurricularactivities,sleephours,previousscores,motivationlevel,internetaccess,tutoringsessions,familyincome,teacherquality,schooltype,peerinfluence,physicalactivity,learningdisabilities,parentaleducationlevel,distancefromhome,gender,examscore,hoursstudiedminmax,hoursstudiedz,attendanceminmax,attendancez,sleephoursminmax,sleephoursz,previousscoresminmax,previousscoresz,tutoringsessionsminmax,tutoringsessionsz,physicalactivityminmax,physicalactivityz,examscoreminmax,examscorez
1,23,84,-1,1,0,7,73,-1,1,0,-1,0,Public,1,3,0,High School,1,Male,67,0.51162790697674418605,0.50490329235353589810,0.60000000000000000000,0.34834904187938097248,0.50000000000000000000,-0.01979407902453708564,0.46000000000000000000,-0.14378904602281023682,0.00000000000000000000,-1.21384258651501877340,0.50000000000000000000,0.03140895357277217056,0.26086956521739130435,-0.06057366093763596862
123,28,89,-1,1,1,9,79,1,1,0,-1,0,Private,1,1,0,College,0,Female,71,0.62790697674418604651,1.3395450188797098,0.72500000000000000000,0.78134413532429011913,0.83333333333333333333,1.34249217217459115821,0.58000000000000000000,0.27288386058802626889,0.00000000000000000000,-1.21384258651501877340,0.16666666666666666667,-1.90802054414036339721,0.34782608695652173913,0.96758350750156968136
183,14,71,0,0,1,8,85,-1,1,2,0,1,Public,0,4,0,High School,1,Male,64,0.30232558139534883721,-0.99745181539357705900,0.27500000000000000000,-0.77743820107738280881,0.66666666666666666667,0.66134904657502703628,0.70000000000000000000,0.68955676719886277461,0.25000000000000000000,0.41141994648827009058,0.66666666666666666667,1.00112370242933995445,0.19565217391304347826,-0.83169153726704020610
248,16,78,0,1,0,6,83,0,1,0,-1,-1,Public,0,3,1,College,1,Male,64,0.34883720930232558140,-0.66359512478310751298,0.45000000000000000000,-0.17124507025451000350,0.33333333333333333333,-0.70093720462410120756,0.66000000000000000000,0.55066579832858393937,0.00000000000000000000,-1.21384258651501877340,0.50000000000000000000,0.03140895357277217056,0.19565217391304347826,-0.83169153726704020610
305,20,81,0,0,1,5,60,-1,1,3,0,0,Public,1,4,1,High School,1,Male,66,0.44186046511627906977,0.00411825643783157907,0.52500000000000000000,0.08855198581243548449,0.16666666666666666667,-1.3820803302236653,0.20000000000000000000,-1.0465803436796227,0.37500000000000000000,1.22405121298991452258,0.66666666666666666667,1.00112370242933995445,0.23913043478260869565,-0.31761295304743738111
366,18,94,0,1,1,9,77,-1,1,1,0,1,Public,1,2,0,College,0,Male,70,0.39534883720930232558,-0.32973843417263796696,0.85000000000000000000,1.2143392287691993,0.83333333333333333333,1.34249217217459115821,0.54000000000000000000,0.13399289171774743365,0.12500000000000000000,-0.40121132001337434141,0.33333333333333333333,-0.93830579528379561332,0.32608695652173913043,0.71054421539176826886
367,21,69,1,1,1,7,86,0,1,2,-1,0,Private,0,3,0,High School,1,Male,68,0.46511627906976744186,0.17104660174306635208,0.22500000000000000000,-0.95063623845534646747,0.50000000000000000000,-0.01979407902453708564,0.72000000000000000000,0.75900225163400219222,0.25000000000000000000,0.41141994648827009058,0.50000000000000000000,0.03140895357277217056,0.28260869565217391304,0.19646563117216544388
368,20,73,0,0,1,7,84,0,1,0,0,0,Public,0,4,0,Postgraduate,0,Female,66,0.44186046511627906977,0.00411825643783157907,0.32500000000000000000,-0.60424016369941915015,0.50000000000000000000,-0.01979407902453708564,0.68000000000000000000,0.62011128276372335699,0.00000000000000000000,-1.21384258651501877340,0.66666666666666666667,1.00112370242933995445,0.23913043478260869565,-0.31761295304743738111
369,21,68,0,-1,0,8,100,-1,1,0,0,0,Public,1,4,0,High School,-1,Male,63,0.46511627906976744186,0.17104660174306635208,0.20000000000000000000,-1.03723525714432829680,0.66666666666666666667,0.66134904657502703628,1.00000000000000000000,1.7312390337259540,0.00000000000000000000,-1.21384258651501877340,0.66666666666666666667,1.00112370242933995445,0.17391304347826086957,-1.0887308293768416
426,28,88,1,0,0,8,79,0,1,0,0,0,Public,1,3,0,High School,-1,Male,71,0.62790697674418604651,1.3395450188797098,0.70000000000000000000,0.69474511663530828980,0.66666666666666666667,0.66134904657502703628,0.58000000000000000000,0.27288386058802626889,0.00000000000000000000,-1.21384258651501877340,0.50000000000000000000,0.03140895357277217056,0.34782608695652173913,0.96758350750156968136
